"district","city","province","postal_code"
"RANAH PESISIR","PESISIR SELATAN","SUMATERA BARAT","25666"
"LEMBAH SEGAR","SAWAH LUNTO","SUMATERA BARAT","27415"
"LEMBAH SEGAR","SAWAH LUNTO","SUMATERA BARAT","27413"
"LEMBAH SEGAR","SAWAH LUNTO","SUMATERA BARAT","27412"
"PAYAKUMBUH BARAT","PAYAKUMBUH","SUMATERA BARAT","26226"
"MANDIANGIN KOTO SELAYAN","BUKITTINGGI","SUMATERA BARAT","26122"
"PADANG TIMUR","PADANG","SUMATERA BARAT","25125"
"AUR BIRUGO TIGO BALEH","BUKITTINGGI","SUMATERA BARAT","26133"
"SUMPUR KUDUS","SIJUNJUNG (SAWAH LUNTO SIJUNJUNG)","SUMATERA BARAT","27563"
"KURANJI","PADANG","SUMATERA BARAT","25157"
"NANGGALO","PADANG","SUMATERA BARAT","25147"
"SUNGAI RUMBAI","DHARMASRAYA","SUMATERA BARAT","27684"
"LIMA KAUM","TANAH DATAR","SUMATERA BARAT","27211"
"AUR BIRUGO TIGO BALEH","BUKITTINGGI","SUMATERA BARAT","26135"
"TANJUNG HARAPAN","SOLOK","SUMATERA BARAT","27325"
"PAUH","PADANG","SUMATERA BARAT","25168"
"TANJUNG GADANG","SIJUNJUNG (SAWAH LUNTO SIJUNJUNG)","SUMATERA BARAT","27571"
"RAO SELATAN","PASAMAN","SUMATERA BARAT","26353"
"SALIMPAUNG","TANAH DATAR","SUMATERA BARAT","27263"
"MATUR","AGAM","SUMATERA BARAT","26162"
"PAUH","PADANG","SUMATERA BARAT","25166"
"PAYAKUMBUH SELATAN","PAYAKUMBUH","SUMATERA BARAT","26227"
"PANTAI CERMIN","SOLOK","SUMATERA BARAT","27373"
"PADANG UTARA","PADANG","SUMATERA BARAT","25136"
"BARANGIN","SAWAH LUNTO","SUMATERA BARAT","27424"
"KOTO TANGAH","PADANG","SUMATERA BARAT","25173"
"SANGIR","SOLOK SELATAN","SUMATERA BARAT","27778"
"KURANJI","PADANG","SUMATERA BARAT","25153"
"2 X 11 ENAM LINGKUNG","PADANG PARIAMAN","SUMATERA BARAT","25584"
"MAPAT TUNGGUL","PASAMAN","SUMATERA BARAT","26353"
"BARANGIN","SAWAH LUNTO","SUMATERA BARAT","27421"
"LUNANG","PESISIR SELATAN","SUMATERA BARAT","25674"
"LEMBAH SEGAR","SAWAH LUNTO","SUMATERA BARAT","27416"
"SIBERUT SELATAN","KEPULAUAN MENTAWAI","SUMATERA BARAT","25393"
"MALAKAK","AGAM","SUMATERA BARAT","26161"
"MANDIANGIN KOTO SELAYAN","BUKITTINGGI","SUMATERA BARAT","26129"
"PARIAMAN SELATAN","PARIAMAN","SUMATERA BARAT","25537"
"PARIAMAN SELATAN","PARIAMAN","SUMATERA BARAT","25538"
"PADANG SELATAN","PADANG","SUMATERA BARAT","25216"
"SIKAKAP","KEPULAUAN MENTAWAI","SUMATERA BARAT","25391"
"SILUNGKANG","SAWAH LUNTO","SUMATERA BARAT","27435"
"GUNUNG TULEH","PASAMAN BARAT","SUMATERA BARAT","26571"
"JUNJUNG SIRIH","SOLOK","SUMATERA BARAT","27388"
"MAPAT TUNGGUL SELATAN","PASAMAN","SUMATERA BARAT","26353"
"TANJUNG HARAPAN","SOLOK","SUMATERA BARAT","27326"
"PAYAKUMBUH UTARA","PAYAKUMBUH","SUMATERA BARAT","26218"
"PADANG PANJANG TIMUR","PADANG PANJANG","SUMATERA BARAT","27124"
"PADANG BARAT","PADANG","SUMATERA BARAT","25117"
"PAYAKUMBUH TIMUR","PAYAKUMBUH","SUMATERA BARAT","26236"
"LUBUK KILANGAN","PADANG","SUMATERA BARAT","25233"
"PADANG GELUGUR","PASAMAN","SUMATERA BARAT","26352"
"RAO","PASAMAN","SUMATERA BARAT","26353"
"PAYAKUMBUH TIMUR","PAYAKUMBUH","SUMATERA BARAT","26232"
"LUBUK BEGALUNG","PADANG","SUMATERA BARAT","25226"
"GUGUK PANJANG (GUGUAK PANJANG)","BUKITTINGGI","SUMATERA BARAT","26112"
"AUR BIRUGO TIGO BALEH","BUKITTINGGI","SUMATERA BARAT","26134"
"KOTO PARIK GADANG DIATEH","SOLOK SELATAN","SUMATERA BARAT","27775"
"PANTI","PASAMAN","SUMATERA BARAT","26352"
"TIMPEH","DHARMASRAYA","SUMATERA BARAT","27678"
"PAYAKUMBUH BARAT","PAYAKUMBUH","SUMATERA BARAT","26222"
"PADANG TIMUR","PADANG","SUMATERA BARAT","25123"
"AUR BIRUGO TIGO BALEH","BUKITTINGGI","SUMATERA BARAT","26132"
"KOTO BALINGKA","PASAMAN BARAT","SUMATERA BARAT","26572"
"KURANJI","PADANG","SUMATERA BARAT","25152"
"PADANG PANJANG BARAT","PADANG PANJANG","SUMATERA BARAT","27113"
"PADANG SELATAN","PADANG","SUMATERA BARAT","25213"
"TANJUNG HARAPAN","SOLOK","SUMATERA BARAT","27322"
"PADANG PANJANG BARAT","PADANG PANJANG","SUMATERA BARAT","27116"
"LEMBAH SEGAR","SAWAH LUNTO","SUMATERA BARAT","27411"
"PARIAMAN SELATAN","PARIAMAN","SUMATERA BARAT","25532"
"LUBUK BEGALUNG","PADANG","SUMATERA BARAT","25224"
"MANDIANGIN KOTO SELAYAN","BUKITTINGGI","SUMATERA BARAT","26123"
"MANDIANGIN KOTO SELAYAN","BUKITTINGGI","SUMATERA BARAT","26124"
"MANDIANGIN KOTO SELAYAN","BUKITTINGGI","SUMATERA BARAT","26125"
"PARIAMAN SELATAN","PARIAMAN","SUMATERA BARAT","25533"
"PADANG BARAT","PADANG","SUMATERA BARAT","25115"
"PADANG SELATAN","PADANG","SUMATERA BARAT","25212"
"TALAWI","SAWAH LUNTO","SUMATERA BARAT","27449"
"PADANG BARAT","PADANG","SUMATERA BARAT","25111"
"SIBERUT TENGAH","KEPULAUAN MENTAWAI","SUMATERA BARAT","25393"
"TALAWI","SAWAH LUNTO","SUMATERA BARAT","27447"
"AUR BIRUGO TIGO BALEH","BUKITTINGGI","SUMATERA BARAT","26137"
"HILIRAN GUMANTI","SOLOK","SUMATERA BARAT","27372"
"SASAK RANAH PASISIR / PESISIE","PASAMAN BARAT","SUMATERA BARAT","26366"
"PADANG TIMUR","PADANG","SUMATERA BARAT","25121"
"PADANG SELATAN","PADANG","SUMATERA BARAT","25214"
"KURANJI","PADANG","SUMATERA BARAT","25159"
"PAYAKUMBUH TIMUR","PAYAKUMBUH","SUMATERA BARAT","26233"
"PADANG PANJANG TIMUR","PADANG PANJANG","SUMATERA BARAT","27126"
"SIBERUT BARAT","KEPULAUAN MENTAWAI","SUMATERA BARAT","25394"
"TALAWI","SAWAH LUNTO","SUMATERA BARAT","27446"
"TALAWI","SAWAH LUNTO","SUMATERA BARAT","27448"
"PARIAMAN UTARA","PARIAMAN","SUMATERA BARAT","25526"
"PADANG PANJANG BARAT","PADANG PANJANG","SUMATERA BARAT","27117"
"PADANG PANJANG BARAT","PADANG PANJANG","SUMATERA BARAT","27118"
"SILUNGKANG","SAWAH LUNTO","SUMATERA BARAT","27432"
"SILUNGKANG","SAWAH LUNTO","SUMATERA BARAT","27433"
"SILUNGKANG","SAWAH LUNTO","SUMATERA BARAT","27431"
"LUBUK SIKARAH","SOLOK","SUMATERA BARAT","27316"
"LUBUK SIKARAH","SOLOK","SUMATERA BARAT","27313"
"SINTUK / SINTUAK TOBOH GADANG","PADANG PARIAMAN","SUMATERA BARAT","25582"
"SITUJUAH LIMO / LIMA NAGARI","LIMA PULUH KOTO / KOTA","SUMATERA BARAT","26252"
"SIJUNJUNG","SIJUNJUNG (SAWAH LUNTO SIJUNJUNG)","SUMATERA BARAT","27511"
"SUNGAI AUR","PASAMAN BARAT","SUMATERA BARAT","26573"
"PATAMUAN","PADANG PARIAMAN","SUMATERA BARAT","25573"
"SANGIR BALAI JANGGO","SOLOK SELATAN","SUMATERA BARAT","27777"
"PARIAMAN UTARA","PARIAMAN","SUMATERA BARAT","25529"
"NANGGALO","PADANG","SUMATERA BARAT","25146"
"SALIMPAUNG","TANAH DATAR","SUMATERA BARAT","27262"
"NANGGALO","PADANG","SUMATERA BARAT","25144"
"BARANGIN","SAWAH LUNTO","SUMATERA BARAT","27423"
"TALAWI","SAWAH LUNTO","SUMATERA BARAT","27445"
"LUBUK SIKARAH","SOLOK","SUMATERA BARAT","27312"
"PADANG PANJANG BARAT","PADANG PANJANG","SUMATERA BARAT","27112"
"PADANG PANJANG TIMUR","PADANG PANJANG","SUMATERA BARAT","27121"
"PARIAMAN UTARA","PARIAMAN","SUMATERA BARAT","25523"
"TANJUNG HARAPAN","SOLOK","SUMATERA BARAT","27324"
"ULAKAN TAPAKIH / TAPAKIS","PADANG PARIAMAN","SUMATERA BARAT","25572"
"LUBUK KILANGAN","PADANG","SUMATERA BARAT","25234"
"SILUNGKANG","SAWAH LUNTO","SUMATERA BARAT","27434"
"GUGUK PANJANG (GUGUAK PANJANG)","BUKITTINGGI","SUMATERA BARAT","26117"
"TANJUNG MUTIARA","AGAM","SUMATERA BARAT","26473"
"PARIAMAN SELATAN","PARIAMAN","SUMATERA BARAT","25536"
"TALAWI","SAWAH LUNTO","SUMATERA BARAT","27442"
"PARIAMAN TENGAH","PARIAMAN","SUMATERA BARAT","25516"
"LEMBAH MELINTANG","PASAMAN BARAT","SUMATERA BARAT","26572"
"PADANG UTARA","PADANG","SUMATERA BARAT","25134"
"PADANG UTARA","PADANG","SUMATERA BARAT","25133"
"LUBUK SIKARAH","SOLOK","SUMATERA BARAT","27311"
"KEMUNING","INDRAGIRI HILIR","RIAU","29274"
"KUANTAN MUDIK","KUANTAN SINGINGI","RIAU","29564"
"UKUI","PELALAWAN","RIAU","28382"
"PAYUNG SEKAKI","PEKANBARU","RIAU","28292"
"PUJUD","ROKAN HILIR","RIAU","28983"
"MANDAU","BENGKALIS","RIAU","28784"
"RENGAT BARAT","INDRAGIRI HULU","RIAU","29351"
"SINGINGI","KUANTAN SINGINGI","RIAU","29563"
"PASIR PENYU","INDRAGIRI HULU","RIAU","29352"
"PENDALIAN IV KOTO","ROKAN HULU","RIAU","28555"
"BENGKALIS","BENGKALIS","RIAU","28711"
"LUBUK BATU JAYA","INDRAGIRI HULU","RIAU","29352"
"KATEMAN","INDRAGIRI HILIR","RIAU","29255"
"TAPUNG","KAMPAR","RIAU","28464"
"BANDAR PETALANGAN","PELALAWAN","RIAU","28384"
"KAMPAR","KAMPAR","RIAU","28461"
"TEBING TINGGI","KEPULAUAN MERANTI","RIAU","28753"
"ROKAN IV KOTO","ROKAN HULU","RIAU","28555"
"TEBING TINGGI BARAT","KEPULAUAN MERANTI","RIAU","28753"
"RUMBIO JAYA","KAMPAR","RIAU","28458"
"KABUN","ROKAN HULU","RIAU","28554"
"BATANG CENAKU","INDRAGIRI HULU","RIAU","29355"
"RANGSANG BARAT","KEPULAUAN MERANTI","RIAU","28755"
"BUKIT BATU","BENGKALIS","RIAU","28761"
"KAMPAR KIRI HULU","KAMPAR","RIAU","28471"
"TAMBANG","KAMPAR","RIAU","28462"
"RAMBAH","ROKAN HULU","RIAU","28557"
"BAGAN SINEMBAH","ROKAN HILIR","RIAU","28992"
"BANGKO","ROKAN HILIR","RIAU","28912"
"BUKIT KAPUR","DUMAI","RIAU","28882"
"RANTAU KOPAR","ROKAN HILIR","RIAU","28983"
"BANGKO","ROKAN HILIR","RIAU","28913"
"ENOK","INDRAGIRI HILIR","RIAU","29272"
"PELANGIRAN","INDRAGIRI HILIR","RIAU","29255"
"DUMAI BARAT","DUMAI","RIAU","28821"
"BANGKO","ROKAN HILIR","RIAU","28911"
"BUNUT","PELALAWAN","RIAU","28383"
"MERBAU","KEPULAUAN MERANTI","RIAU","28752"
"SIMPANG KANAN","ROKAN HILIR","RIAU","28992"
"KUNTO DARUSSALAM","ROKAN HULU","RIAU","28556"
"MANDAH","INDRAGIRI HILIR","RIAU","29254"
"PINGGIR","BENGKALIS","RIAU","28784"
"XIII KOTO KAMPAR","KAMPAR","RIAU","28453"
"KUANTAN TENGAH","KUANTAN SINGINGI","RIAU","29511"
"SIAK KECIL","BENGKALIS","RIAU","28771"
"SEBERIDA","INDRAGIRI HULU","RIAU","29371"
"SABAK AUH","SIAK","RIAU","28685"
"TASIK PUTRI PUYU","KEPULAUAN MERANTI","RIAU","28752"
"KOTO KAMPAR HULU","KAMPAR","RIAU","28453"
"BANGKINANG","KAMPAR","RIAU","28411"
"BANGKO PUSAKA (PUSAKO)","ROKAN HILIR","RIAU","28992"
"BANGKO PUSAKA (PUSAKO)","ROKAN HILIR","RIAU","28983"
"SUNGAI SEMBILAN","DUMAI","RIAU","28826"
"PULAU BURUNG","INDRAGIRI HILIR","RIAU","29256"
"TAMBUSAI UTARA","ROKAN HULU","RIAU","28558"
"BANGUN PURBA","ROKAN HULU","RIAU","28557"
"KAMPAR KIRI HILIR","KAMPAR","RIAU","28471"
"LIRIK","INDRAGIRI HULU","RIAU","29353"
"BENAI","KUANTAN SINGINGI","RIAU","29566"
"INUMAN","KUANTAN SINGINGI","RIAU","29565"
"KERUMUTAN","PELALAWAN","RIAU","28353"
"DAYUN","SIAK","RIAU","28671"
"TANAH PUTIH","ROKAN HILIR","RIAU","28983"
"BANTAN","BENGKALIS","RIAU","28754"
"BATU HAMPAR","ROKAN HILIR","RIAU","28912"
"KUANTAN HILIR","KUANTAN SINGINGI","RIAU","29561"
"PULAUMERBAU","KEPULAUAN MERANTI","RIAU","28752"
"PANGKALAN KURAS","PELALAWAN","RIAU","28382"
"TAMBUSAI","ROKAN HULU","RIAU","28558"
"PELALAWAN","PELALAWAN","RIAU","28353"
"TEBING TINGGI TIMUR","KEPULAUAN MERANTI","RIAU","28753"
"TANAH PUTIH TANJUNG MELAWAN","ROKAN HILIR","RIAU","28983"
"RUPAT","BENGKALIS","RIAU","28781"
"PERANAP","INDRAGIRI HULU","RIAU","29354"
"RAKIT KULIM","INDRAGIRI HULU","RIAU","29352"
"KUOK (BANGKINANG BARAT)","KAMPAR","RIAU","28463"
"KEMPAS","INDRAGIRI HILIR","RIAU","29261"
"KANDIS","SIAK","RIAU","28686"
"GAUNG","INDRAGIRI HILIR","RIAU","29282"
"BATANG GANSAL","INDRAGIRI HULU","RIAU","29355"
"PUSAKO","SIAK","RIAU","28763"
"SUNGAI MANDAU","SIAK","RIAU","28671"
"BENGKALIS","BENGKALIS","RIAU","28712"
"SUNGAI BATANG","INDRAGIRI HILIR","RIAU","29273"
"MEMPURA","SIAK","RIAU","28773"
"SENTAJO RAYA","KUANTAN SINGINGI","RIAU","29566"
"SINGINGI HILIR","KUANTAN SINGINGI","RIAU","29563"
"TAPUNG HILIR","KAMPAR","RIAU","28464"
"TELUK BELENGKONG","INDRAGIRI HILIR","RIAU","29255"
"RANGSANG PESISIR","KEPULAUAN MERANTI","RIAU","28755"
"KAMPAR KIRI TENGAH","KAMPAR","RIAU","28471"
"DUMAI KOTA","DUMAI","RIAU","28812"
"BANGKINANG SEBERANG","KAMPAR","RIAU","28463"
"BONAI DARUSSALAM","ROKAN HULU","RIAU","28559"
"KELAYANG","INDRAGIRI HULU","RIAU","29352"
"TANDUN","ROKAN HULU","RIAU","28554"
"KERINCI KANAN","SIAK","RIAU","28654"
"SIAK","SIAK","RIAU","28671"
"KOTO GASIB","SIAK","RIAU","28671"
"BUNGA RAYA","SIAK","RIAU","28763"
"PANGKALAN KERINCI","PELALAWAN","RIAU","28381"
"DUMAI TIMUR","DUMAI","RIAU","28811"
"DUMAI SELATAN","DUMAI","RIAU","28825"
"TAPUNG HULU","KAMPAR","RIAU","28464"
"DUMAI SELATAN","DUMAI","RIAU","28826"
"SIAK HULU","KAMPAR","RIAU","28452"
"DUMAI TIMUR","DUMAI","RIAU","28814"
"DUMAI SELATAN","DUMAI","RIAU","28813"
"LOGAS TANAH DARAT","KUANTAN SINGINGI","RIAU","29556"
"SUNGAI APIT","SIAK","RIAU","28662"
"SAIL","PEKANBARU","RIAU","28131"
"RANGSANG","KEPULAUAN MERANTI","RIAU","28755"
"CONCONG","INDRAGIRI HILIR","RIAU","29281"
"BENGKALIS","BENGKALIS","RIAU","28713"
"KUANTAN HILIR SEBERANG","KUANTAN SINGINGI","RIAU","29561"
"SINABOI (SENABOI)","ROKAN HILIR","RIAU","28912"
"KAMPAR TIMUR","KAMPAR","RIAU","28461"
"TAMPAN","PEKANBARU","RIAU","28291"
"KAMPAR KIRI","KAMPAR","RIAU","28471"
"DUMAI KOTA","DUMAI","RIAU","28811"
"PANGKALAN LESUNG","PELALAWAN","RIAU","28382"
"LUBUK DALAM","SIAK","RIAU","28654"
"TELUK MERANTI","PELALAWAN","RIAU","28353"
"SALO","KAMPAR","RIAU","28451"
"BATANG TUAKA","INDRAGIRI HILIR","RIAU","29252"
"MEDANG KAMPAI","DUMAI","RIAU","28825"
"GUNUNG SAHILAN","KAMPAR","RIAU","28471"
"GUNUNG TOAR","KUANTAN SINGINGI","RIAU","29565"
"PERHENTIAN RAJA","KAMPAR","RIAU","28462"
"RIMBA MELINTANG","ROKAN HILIR","RIAU","28953"
"TEMPULING","INDRAGIRI HILIR","RIAU","29261"
"GAUNG ANAK SERKA","INDRAGIRI HILIR","RIAU","29253"
"SUKAJADI","PEKANBARU","RIAU","28122"
"RUPAT UTARA","BENGKALIS","RIAU","28781"
"PUCUK RANTAU","KUANTAN SINGINGI","RIAU","29564"
"HULU KUANTAN","KUANTAN SINGINGI","RIAU","29565"
"SUKAJADI","PEKANBARU","RIAU","28126"
"DUMAI TIMUR","DUMAI","RIAU","28815"
"KUBU BABUSSALAM","ROKAN HILIR","RIAU","28991"
"SENAPELAN","PEKANBARU","RIAU","28153"
"CERENTI","KUANTAN SINGINGI","RIAU","29555"
"SENAPELAN","PEKANBARU","RIAU","28154"
"RENGAT","INDRAGIRI HULU","RIAU","29312"
"RENGAT","INDRAGIRI HULU","RIAU","29313"
"SENAPELAN","PEKANBARU","RIAU","28152"
"SUKAJADI","PEKANBARU","RIAU","28124"
"KAMPAR UTARA","KAMPAR","RIAU","28461"
"RENGAT","INDRAGIRI HULU","RIAU","29314"
"SUKAJADI","PEKANBARU","RIAU","28128"
"RAMBAH SAMO","ROKAN HULU","RIAU","28565"
"PEKAITAN","ROKAN HILIR","RIAU","28912"
"KERITANG","INDRAGIRI HILIR","RIAU","29274"
"SUKAJADI","PEKANBARU","RIAU","28123"
"SUNGAI LALA","INDRAGIRI HULU","RIAU","29363"
"PAGARAN TAPAH DARUSSALAM","ROKAN HULU","RIAU","28556"
"KEPENUHAN HULU","ROKAN HULU","RIAU","28559"
"KEPENUHAN","ROKAN HULU","RIAU","28559"
"BANDAR SEI KIJANG","PELALAWAN","RIAU","28383"
"PEKANBARU KOTA","PEKANBARU","RIAU","28114"
"PEKANBARU KOTA","PEKANBARU","RIAU","28112"
"PANGEAN","KUANTAN SINGINGI","RIAU","29553"
"KUANTAN TENGAH","KUANTAN SINGINGI","RIAU","29515"
"BATANG PERANAP","INDRAGIRI HULU","RIAU","29354"
"KUALA CENAKU","INDRAGIRI HULU","RIAU","29335"
"TANAH MERAH","INDRAGIRI HILIR","RIAU","29271"
"TENAYAN RAYA","PEKANBARU","RIAU","28286"
"DUMAI KOTA","DUMAI","RIAU","28821"
"LANGGAM","PELALAWAN","RIAU","28381"
"BANGKINANG","KAMPAR","RIAU","28412"
"RUMBAI PESISIR","PEKANBARU","RIAU","28263"
"RUMBAI PESISIR","PEKANBARU","RIAU","28262"
"RUMBAI PESISIR","PEKANBARU","RIAU","28261"
"RAMBAH HILIR","ROKAN HULU","RIAU","28557"
"RETEH","INDRAGIRI HILIR","RIAU","29273"
"MARPOYAN DAMAI","PEKANBARU","RIAU","28125"
"MINAS","SIAK","RIAU","28685"
"DUMAI SELATAN","DUMAI","RIAU","28821"
"RUMBAI PESISIR","PEKANBARU","RIAU","28266"
"TUALANG","SIAK","RIAU","28772"
"RUMBAI","PEKANBARU","RIAU","28267"
"UJUNG BATU","ROKAN HULU","RIAU","28554"
"SENAPELAN","PEKANBARU","RIAU","28156"
"SENAPELAN","PEKANBARU","RIAU","28155"
"RUMBAI","PEKANBARU","RIAU","28264"
"DUMAI BARAT","DUMAI","RIAU","28824"
"PASIR LIMAU KAPAS","ROKAN HILIR","RIAU","28991"
"BANGKO","ROKAN HILIR","RIAU","28914"
"RENGAT","INDRAGIRI HULU","RIAU","29311"
"RENGAT","INDRAGIRI HULU","RIAU","29316"
"TEMBILAHAN","INDRAGIRI HILIR","RIAU","29212"
"TEMBILAHAN HULU","INDRAGIRI HILIR","RIAU","29213"
"LOGAS TANAH DARAT","KUANTAN SINGINGI","RIAU","29561"
"KUALA INDRAGIRI","INDRAGIRI HILIR","RIAU","29281"
"LIMA PULUH","PEKANBARU","RIAU","28144"
"SUKAJADI","PEKANBARU","RIAU","28127"
"KUANTAN TENGAH","KUANTAN SINGINGI","RIAU","29514"
"DUMAI BARAT","DUMAI","RIAU","28823"
"RENGAT BARAT","INDRAGIRI HULU","RIAU","29345"
"RENGAT","INDRAGIRI HULU","RIAU","29319"
"KUBU","ROKAN HILIR","RIAU","28991"
"TENAYAN RAYA","PEKANBARU","RIAU","28281"
"DUMAI KOTA","DUMAI","RIAU","28822"
"LIMA PULUH","PEKANBARU","RIAU","28141"
"SENAPELAN","PEKANBARU","RIAU","28151"
"TENAYAN RAYA","PEKANBARU","RIAU","28285"
"RENGAT","INDRAGIRI HULU","RIAU","29318"
"LIMA PULUH","PEKANBARU","RIAU","28142"
"BENGKALIS","BENGKALIS","RIAU","28714"
"KUALA KAMPAR","PELALAWAN","RIAU","28384"
"RENGAT BARAT","INDRAGIRI HULU","RIAU","29344"
"TAMPAN","PEKANBARU","RIAU","28294"
"TAMPAN","PEKANBARU","RIAU","28293"
"PEKANBARU KOTA","PEKANBARU","RIAU","28116"
"BUKIT RAYA","PEKANBARU","RIAU","28284"
"RUMBAI","PEKANBARU","RIAU","28261"
"PEKANBARU KOTA","PEKANBARU","RIAU","28111"
"SUKAJADI","PEKANBARU","RIAU","28121"
"RENGAT","INDRAGIRI HULU","RIAU","29317"
"TEMBILAHAN","INDRAGIRI HILIR","RIAU","29214"
"KUANTAN TENGAH","KUANTAN SINGINGI","RIAU","29513"
"PEKANBARU KOTA","PEKANBARU","RIAU","28115"
"MARPOYAN DAMAI","PEKANBARU","RIAU","28282"
"BUKIT RAYA","PEKANBARU","RIAU","28281"
"BUKIT RAYA","PEKANBARU","RIAU","28288"
"TENAYAN RAYA","PEKANBARU","RIAU","28289"
"BUKIT RAYA","PEKANBARU","RIAU","28289"
"DUMAI TIMUR","DUMAI","RIAU","28816"
"LIMA PULUH","PEKANBARU","RIAU","28143"
"HULU KUANTAN","KUANTAN SINGINGI","RIAU","29566"
"RUMBAI PESISIR","PEKANBARU","RIAU","28287"
"DUMAI TIMUR","DUMAI","RIAU","28813"
"TEMBILAHAN","INDRAGIRI HILIR","RIAU","29211"
"KUANTAN TENGAH","KUANTAN SINGINGI","RIAU","29512"
"RUMBAI","PEKANBARU","RIAU","28265"
"TEBO TENGAH","TEBO","JAMBI","37571"
"TEBING TINGGI","TANJUNG JABUNG BARAT","JAMBI","36552"
"MERLUNG","TANJUNG JABUNG BARAT","JAMBI","36554"
"BAHAR SELATAN","MUARO JAMBI","JAMBI","36365"
"DANAU KERINCI","KERINCI","JAMBI","37172"
"RENAH PEMBARAP","MERANGIN","JAMBI","37361"
"TABIR ILIR","MERANGIN","JAMBI","37353"
"AIR HANGAT BARAT","KERINCI","JAMBI","37161"
"GUNUNG KERINCI","KERINCI","JAMBI","37162"
"BATHIN III","BUNGO","JAMBI","37211"
"AIR HANGAT TIMUR","KERINCI","JAMBI","37161"
"SADU","TANJUNG JABUNG TIMUR","JAMBI","36773"
"MUARA SIAU","MERANGIN","JAMBI","37371"
"TABIR BARAT","MERANGIN","JAMBI","37356"
"GUNUNG RAYA","KERINCI","JAMBI","37174"
"KUMUN DEBAI","SUNGAIPENUH","JAMBI","37111"
"AIR HANGAT","KERINCI","JAMBI","37161"
"SIULAK","KERINCI","JAMBI","37162"
"MUARA SABAK TIMUR","TANJUNG JABUNG TIMUR","JAMBI","36761"
"SUNGAI PENUH","SUNGAIPENUH","JAMBI","37111"
"SITINJAU LAUT","KERINCI","JAMBI","37171"
"MUARA TEMBESI","BATANG HARI","JAMBI","36653"
"PELAYANGAN","JAMBI","JAMBI","36251"
"KUMPEH ULU","MUARO JAMBI","JAMBI","36373"
"SINGKUT","SAROLANGUN","JAMBI","37482"
"MUARA BULIAN","BATANG HARI","JAMBI","36611"
"NALO TANTAN","MERANGIN","JAMBI","37311"
"BATHIN III ULU","BUNGO","JAMBI","37261"
"VII KOTO","TEBO","JAMBI","37259"
"PONDOK TINGGI","SUNGAIPENUH","JAMBI","37111"
"BATIN XXIV","BATANG HARI","JAMBI","36656"
"JUJUHAN ILIR","BUNGO","JAMBI","37257"
"SAROLANGUN","SAROLANGUN","JAMBI","37481"
"PEMAYUNG","BATANG HARI","JAMBI","36657"
"BATHIN II BABEKO","BUNGO","JAMBI","37211"
"TUNGKAL ULU","TANJUNG JABUNG BARAT","JAMBI","36552"
"KOTA BARU","JAMBI","JAMBI","36129"
"BAHAR UTARA","MUARO JAMBI","JAMBI","36365"
"BAJUBANG","BATANG HARI","JAMBI","36611"
"SUNGAI BAHAR","MUARO JAMBI","JAMBI","36365"
"MARO SEBO","MUARO JAMBI","JAMBI","36382"
"PELEPAT","BUNGO","JAMBI","37262"
"VII KOTO ILIR","TEBO","JAMBI","37259"
"RANTAU RASAU","TANJUNG JABUNG TIMUR","JAMBI","36772"
"MUARA TABIR","TEBO","JAMBI","37572"
"PELEPAT ILIR","BUNGO","JAMBI","37252"
"BATHIN VIII (BATIN VIII)","SAROLANGUN","JAMBI","37481"
"JUJUHAN","BUNGO","JAMBI","37257"
"TANAH KAMPUNG","SUNGAIPENUH","JAMBI","37171"
"DEPATI TUJUH","KERINCI","JAMBI","37161"
"LIMBUR LUBUK MENGKUANG","BUNGO","JAMBI","37211"
"PANGKALAN JAMBU","MERANGIN","JAMBI","37361"
"BATANG MERANGIN","KERINCI","JAMBI","37175"
"MUKO-MUKO BATIN VII","BUNGO","JAMBI","37216"
"KOTO BARU","SUNGAIPENUH","JAMBI","37152"
"PASAR MUARA BUNGO","BUNGO","JAMBI","37211"
"TIANG PUMPUNG","MERANGIN","JAMBI","37371"
"MESTONG","MUARO JAMBI","JAMBI","36364"
"SUNGAI TENANG","MERANGIN","JAMBI","37372"
"KAYU ARO","KERINCI","JAMBI","37163"
"BATANG ASAI","SAROLANGUN","JAMBI","37485"
"PAUH","SAROLANGUN","JAMBI","37491"
"KAYU ARO BARAT","KERINCI","JAMBI","37163"
"PELAWAN","SAROLANGUN","JAMBI","37482"
"MARO SEBO ULU","BATANG HARI","JAMBI","36655"
"BANGKO BARAT","MERANGIN","JAMBI","37311"
"TABIR","MERANGIN","JAMBI","37353"
"GUNUNG TUJUH","KERINCI","JAMBI","37163"
"KELILING DANAU","KERINCI","JAMBI","37173"
"MERSAM","BATANG HARI","JAMBI","36654"
"SUNGAI MANAU","MERANGIN","JAMBI","37361"
"SEKERNAN","MUARO JAMBI","JAMBI","36381"
"PASAR JAMBI","JAMBI","JAMBI","36112"
"LIMUN","SAROLANGUN","JAMBI","37382"
"KUALA BETARA","TANJUNG JABUNG BARAT","JAMBI","36555"
"TEBO ILIR","TEBO","JAMBI","37572"
"KUMPEH","MUARO JAMBI","JAMBI","36371"
"MENDAHARA","TANJUNG JABUNG TIMUR","JAMBI","36764"
"BUKITKERMAN","KERINCI","JAMBI","37174"
"BRAM ITAM","TANJUNG JABUNG BARAT","JAMBI","36514"
"JAMBI TIMUR","JAMBI","JAMBI","36145"
